Running 10s test @ http://localhost:8080
  1 threads and 16 connections
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     9.76ms   33.66ms 294.40ms   95.51%
    Req/Sec       -nan      -nan   0.00      0.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.51ms
 75.000%    2.44ms
 90.000%   13.39ms
 99.000%  204.54ms
 99.900%  277.76ms
 99.990%  293.38ms
 99.999%  294.40ms
100.000%  294.65ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.129     0.000000            1         1.00
       0.669     0.100000         9997         1.11
       0.892     0.200000        19922         1.25
       1.101     0.300000        29916         1.43
       1.303     0.400000        39880         1.67
       1.515     0.500000        49823         2.00
       1.634     0.550000        54811         2.22
       1.769     0.600000        59766         2.50
       1.936     0.650000        64752         2.86
       2.145     0.700000        69755         3.33
       2.439     0.750000        74725         4.00
       2.691     0.775000        77213         4.44
       3.221     0.800000        79684         5.00
       4.267     0.825000        82176         5.71
       5.891     0.850000        84668         6.67
       8.863     0.875000        87155         8.00
      10.943     0.887500        88405         8.89
      13.391     0.900000        89647        10.00
      16.511     0.912500        90893        11.43
      20.879     0.925000        92138        13.33
      27.215     0.937500        93380        16.00
      31.583     0.943750        94004        17.78
      36.511     0.950000        94627        20.00
      45.951     0.956250        95249        22.86
      72.063     0.962500        95870        26.67
     106.303     0.968750        96493        32.00
     119.487     0.971875        96805        35.56
     134.655     0.975000        97116        40.00
     148.735     0.978125        97429        45.71
     167.935     0.981250        97738        53.33
     182.655     0.984375        98050        64.00
     190.719     0.985938        98210        71.11
     195.455     0.987500        98364        80.00
     201.599     0.989062        98519        91.43
     206.719     0.990625        98674       106.67
     213.247     0.992188        98827       128.00
     216.191     0.992969        98906       142.22
     220.031     0.993750        98983       160.00
     222.719     0.994531        99064       182.86
     228.735     0.995313        99139       213.33
     244.351     0.996094        99216       256.00
     251.519     0.996484        99256       284.44
     257.023     0.996875        99296       320.00
     260.607     0.997266        99333       365.71
     264.447     0.997656        99373       426.67
     266.495     0.998047        99413       512.00
     269.311     0.998242        99430       568.89
     271.359     0.998437        99451       640.00
     274.431     0.998633        99471       731.43
     276.223     0.998828        99489       853.33
     278.015     0.999023        99508      1024.00
     278.783     0.999121        99518      1137.78
     279.551     0.999219        99531      1280.00
     280.063     0.999316        99542      1462.86
     280.319     0.999414        99547      1706.67
     281.087     0.999512        99557      2048.00
     284.415     0.999561        99562      2275.56
     285.695     0.999609        99567      2560.00
     286.719     0.999658        99572      2925.71
     287.999     0.999707        99576      3413.33
     290.047     0.999756        99581      4096.00
     291.583     0.999780        99585      4551.11
     292.351     0.999805        99588      5120.00
     292.351     0.999829        99588      5851.43
     292.607     0.999854        99591      6826.67
     293.119     0.999878        99593      8192.00
     293.375     0.999890        99596      9102.22
     293.375     0.999902        99596     10240.00
     293.631     0.999915        99598     11702.86
     293.631     0.999927        99598     13653.33
     293.887     0.999939        99599     16384.00
     294.143     0.999945        99602     18204.44
     294.143     0.999951        99602     20480.00
     294.143     0.999957        99602     23405.71
     294.143     0.999963        99602     27306.67
     294.143     0.999969        99602     32768.00
     294.399     0.999973        99604     36408.89
     294.399     0.999976        99604     40960.00
     294.399     0.999979        99604     46811.43
     294.399     0.999982        99604     54613.33
     294.399     0.999985        99604     65536.00
     294.399     0.999986        99604     72817.78
     294.399     0.999988        99604     81920.00
     294.399     0.999989        99604     93622.86
     294.655     0.999991        99605    109226.67
     294.655     1.000000        99605          inf
#[Mean    =        9.760, StdDeviation   =       33.658]
#[Max     =      294.400, Total count    =        99605]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  99607 requests in 10.00s, 381.74MB read
  Non-2xx or 3xx responses: 3472
Requests/sec:   9959.82
Transfer/sec:     38.17MB
